Ano,Festival,Categoria,Título,Diretor,Premiado,Empate,Verificado
1991,oscar,Filme Estrangeiro,Journey of Hope,Xavier Koller,,N,N
1991,oscar,Ator,Reversal of Fortune,,Jeremy Irons,N,N
1991,oscar,Atriz,Misery,,Kathy Bates,N,N
1990,oscar,Filme,Driving Miss Daisy,Bruce Beresford,,N,N
1990,oscar,Direção,Born on the Fourth of July,Oliver Stone,,N,N
1990,oscar,Roteiro,Dead Poets Society,,Tom Schulman,N,N
1990,oscar,Roteiro,Driving Miss Daisy,,Alfred Uhry,N,N
1990,oscar,Filme Estrangeiro,Cinema Paradiso,Giuseppe Tornatore,,N,N
1990,oscar,Ator,My Left Foot,,Daniel Day-Lewis,N,N
1990,oscar,Atriz,Driving Miss Daisy,,Jessica Tandy,N,N
1989,oscar,Filme,Rain Man,Barry Levinson,,N,N
1989,oscar,Direção,Rain Man,Barry Levinson,,N,N
1989,oscar,Roteiro,Dangerous Liaisons,,Christopher Hampton,N,N
1989,oscar,Roteiro,Rain Man,,Barry Morrow; Ronald Bass,N,N
1989,oscar,Filme Estrangeiro,Pelle the Conqueror,Bille August,,N,N
1989,oscar,Ator,Rain Man,,Dustin Hoffman,N,N
1989,oscar,Atriz,The Accused,,Jodie Foster,N,N
1988,oscar,Filme,The Last Emperor,Bernardo Bertolucci,,N,N
1988,oscar,Direção,The Last Emperor,Bernardo Bertolucci,,N,N
1988,oscar,Roteiro,Moonstruck,,John Patrick Shanley,N,N
1988,oscar,Roteiro,The Last Emperor,,Bernardo Bertolucci; Mark Peploe,N,N
1988,oscar,Filme Estrangeiro,Babette's Feast,Gabriel Axel,,N,N
1988,oscar,Ator,Wall Street,,Michael Douglas,N,N
1988,oscar,Atriz,Moonstruck,,Cher,N,N
1987,oscar,Filme,Platoon,Oliver Stone,,N,N
1987,oscar,Direção,Platoon,Oliver Stone,,N,N
1987,oscar,Roteiro,A Room with a View,,Ruth Prawer Jhabvala,N,N
1987,oscar,Roteiro,Hannah and Her Sisters,,Woody Allen,N,N
1987,oscar,Filme Estrangeiro,The Assault,Fons Rademakers,,N,N
1987,oscar,Ator,The Color of Money,,Paul Newman,N,N
1987,oscar,Atriz,Children of a Lesser God,,Marlee Matlin,N,N
1986,oscar,Filme,Out of Africa,Sydney Pollack,,N,N
1986,oscar,Direção,Out of Africa,Sydney Pollack,,N,N
1986,oscar,Roteiro,Out of Africa,,Kurt Luedtke,N,N
1986,oscar,Roteiro,Witness,,William Kelley; Earl W. Wallace; Pamela Wallace,N,N
1986,oscar,Filme Estrangeiro,The Official Story,,,N,N
1986,oscar,Ator,Kiss of the Spider Woman,,William Damaged,N,N
1986,oscar,Atriz,The Trip to Bountiful,,Geraldine Page,N,N
1985,oscar,Filme,Amadeus,Miloš Forman,,N,N
1985,oscar,Direção,Amadeus,Miloš Forman,,N,N
1985,oscar,Roteiro,Amadeus,,Peter Shaffer,N,N
1985,oscar,Roteiro,Places in the Heart,,Robert Benton,N,N
1985,oscar,Filme Estrangeiro,Dangerous Moves,Richard Dembo,,N,N
1985,oscar,Ator,Amadeus,,F. Murray Abraham,N,N
1985,oscar,Atriz,Places in the Heart,,Sally Field,N,N
1984,oscar,Filme,Terms of Endearment,James L. Brooks,,N,N
1984,oscar,Direção,Terms of Endearment,James L. Brooks,,N,N
1984,oscar,Roteiro,Tender Mercies,,Horton Foote,N,N
1984,oscar,Roteiro,Terms of Endearment,,James L. Brooks,N,N
1984,oscar,Filme Estrangeiro,Fanny and Alexander,Ingmar Bergman,,N,N
1984,oscar,Ator,Tender Mercies,,Robert Duvall,N,N
1984,oscar,Atriz,Terms of Endearment,,Shirley MacLaine,N,N
1983,oscar,Filme,Gandhi,Richard Attenborough,,N,N
1983,oscar,Direção,Gandhi,Richard Attenborough,,N,N
1983,oscar,Roteiro,Gandhi,,John Briley,N,N
1983,oscar,Roteiro,Missing,,Donald E. Stewart; Costa-Gavras,N,N
1983,oscar,Filme Estrangeiro,Begin the Beguine,José Luis Garci,,N,N
1983,oscar,Ator,Gandhi,,Ben Kingsley,N,N
1983,oscar,Atriz,Sophie's Choice,,Meryl Streep,N,N
1982,oscar,Filme,Chariots of Fire,Hugh Hudson,,N,N
1982,oscar,Direção,Reds,Warren Beatty,,N,N
1982,oscar,Roteiro,Chariots of Fire,,Colin Welland,N,N
1982,oscar,Roteiro,On Golden Pond,,Ernest Thompson,N,N
1982,oscar,Filme Estrangeiro,Mephisto,István Szabó,,N,N
1982,oscar,Ator,On Golden Pond,,Henry Fonda,N,N
1982,oscar,Atriz,On Golden Pond,,Katharine Hepburn,N,N
1981,oscar,Filme,Ordinary People,Robert Redford,,N,N
1981,oscar,Direção,Ordinary People,Robert Redford,,N,N
1981,oscar,Roteiro,Melvin and Howard,,Bo Goldman,N,N
1981,oscar,Roteiro,Ordinary People,,Alvin Sargent,N,N
1981,oscar,Filme Estrangeiro,Moscow Does Not Believe in Tears,Vladimir Menshov,,N,N
1981,oscar,Ator,Raging Bull,,Robert De Niro,N,N
1981,oscar,Atriz,Coal Miner's Daughter,,Sissy Spacek,N,N
1980,oscar,Filme,Kramer vs. Kramer,Robert Benton,,N,N
1980,oscar,Direção,Kramer vs. Kramer,Robert Benton,,N,N
1980,oscar,Roteiro,Breaking Away,,Steve Tesich,N,N
1980,oscar,Roteiro,Kramer vs. Kramer,,Robert Benton,N,N
1980,oscar,Filme Estrangeiro,The Tin Drum,Volker Schlöndorff,,N,N
1980,oscar,Ator,Kramer vs. Kramer,,Dustin Hoffman,N,N
1980,oscar,Atriz,Norma Rae,,Sally Field,N,N
1979,oscar,Filme,The Deer Hunter,Michael Cimino,,N,N
1979,oscar,Direção,The Deer Hunter,Michael Cimino,,N,N
1979,oscar,Roteiro,Coming Home,,Waldo Salt; Robert C. Jones; Nancy Dowd,N,N
1979,oscar,Roteiro,Midnight Express,,Oliver Stone,N,N
1979,oscar,Filme Estrangeiro,Get Out Your Handkerchiefs,Bertrand Blier,,N,N
1979,oscar,Ator,Coming Home,,Jon Voight,N,N
1979,oscar,Atriz,Coming Home,,Jane Fonda,N,N
1978,oscar,Filme,Annie Hall,Woody Allen,,N,N
1978,oscar,Direção,Annie Hall,Woody Allen,,N,N
1978,oscar,Roteiro,Annie Hall,,Marshall Brickman; Woody Allen,N,N
1978,oscar,Roteiro,Julia,,Alvin Sargent,N,N
1978,oscar,Filme Estrangeiro,Madame Rosa,Moshé Mizrahi,,N,N
1978,oscar,Ator,The Goodbye Girl,,Richard Dreyfuss,N,N
1978,oscar,Atriz,Annie Hall,,Diane Keaton,N,N
1977,oscar,Filme,Rocky,John G. Avildsen,,N,N
1977,oscar,Direção,Rocky,John G. Avildsen,,N,N
1977,oscar,Roteiro,All the President's Men,,William Goldman,N,N
1977,oscar,Roteiro,Network,,Paddy Chayefsky,N,N
1977,oscar,Filme Estrangeiro,Black and White in Color,Jean-Jacques Annaud,,N,N
1977,oscar,Ator,Network,,Peter Finch,N,N
1977,oscar,Atriz,Network,,Faye Dunaway,N,N
1976,oscar,Filme,One Flew Over the Cuckoo's Nest,Miloš Forman,,N,N
1976,oscar,Direção,One Flew Over the Cuckoo's Nest,Miloš Forman,,N,N
1976,oscar,Roteiro,Dog Day Afternoon,,Frank Pierson,N,N
1976,oscar,Roteiro,One Flew Over the Cuckoo's Nest,,Bo Goldman; Lawrence Hauben,N,N
1976,oscar,Filme Estrangeiro,Dersu Uzala,Akira Kurosawa,,N,N
1976,oscar,Ator,One Flew Over the Cuckoo's Nest,,Jack Nicholson,N,N
1976,oscar,Atriz,One Flew Over the Cuckoo's Nest,,Louise Fletcher,N,N
1975,oscar,Filme,The Godfather Part II,Francis Ford Coppola,,N,N
1975,oscar,Direção,The Godfather Part II,Francis Ford Coppola,,N,N
1975,oscar,Roteiro,Chinatown,,Robert Towne,N,N
1975,oscar,Roteiro,The Godfather Part II,,Mario Puzo; Francis Ford Coppola,N,N
1975,oscar,Filme Estrangeiro,Amarcord,Federico Fellini,,N,N
1975,oscar,Ator,Harry and Tonto,,Art Carney,N,N
1975,oscar,Atriz,Alice Doesn't Live Here Anymore,,Ellen Burstyn,N,N
1974,oscar,Filme,The Sting,George Roy Hill,,N,N
1974,oscar,Direção,The Sting,George Roy Hill,,N,N
1974,oscar,Roteiro,The Exorcist,,William Peter Blatty,N,N
1974,oscar,Roteiro,The Sting,,David S. Ward,N,N
1974,oscar,Filme Estrangeiro,Day for Night,François Truffaut,,N,N
1974,oscar,Ator,Save the Tiger,,Jack Lemmon,N,N
1974,oscar,Atriz,A Touch of Class,,Glenda Jackson,N,N
1973,oscar,Filme,The Godfather,Francis Ford Coppola,,N,N
1973,oscar,Direção,Cabaret,Bob Fosse,,N,N
1973,oscar,Roteiro,The Candidate,,Jeremy Larner,N,N
1973,oscar,Roteiro,The Godfather,,Mario Puzo; Francis Ford Coppola,N,N
1973,oscar,Filme Estrangeiro,The Discreet Charm of the Bourgeoisie,Luis Buñuel,,N,N
1973,oscar,Ator,The Godfather,,Marlon Brando,N,N
1973,oscar,Atriz,Cabaret,,Liza Minnelli,N,N
1972,oscar,Filme,The French Connection,William Friedkin,,N,N
1972,oscar,Direção,The French Connection,William Friedkin,,N,N
1972,oscar,Roteiro,The French Connection,,Ernest Tidyman,N,N
1972,oscar,Roteiro,The Hospital,,Paddy Chayefsky,N,N
1972,oscar,Filme Estrangeiro,The Garden of the Finzi-Continis,Vittorio De Sica,,N,N
1972,oscar,Ator,The French Connection,,Gene Hackman,N,N
1972,oscar,Atriz,Klute,,Jane Fonda,N,N
1971,oscar,Filme,Patton,Franklin J. Schaffner,,N,N
1971,oscar,Direção,Patton,Franklin J. Schaffner,,N,N
1971,oscar,Roteiro,MASH,,Ring Lardner Jr.,N,N
1971,oscar,Roteiro,Patton,,Francis Ford Coppola; Edmund H. North,N,N
1971,oscar,Filme Estrangeiro,Investigation of a Citizen Above Suspicion,Elio Petri,,N,N
1971,oscar,Ator,Patton,,George C. Scott,N,N
1971,oscar,Atriz,Women in Love,,Glenda Jackson,N,N
1970,oscar,Filme,Midnight Cowboy,John Schlesinger,,N,N
