festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
oscar,Roteiro,1952,An American in Paris,,Alan Jay Lerner,N,S
oscar,Roteiro,1952,Seven Days to Noon,,James Bernard; Paul Dehn,N,S
oscar,Roteiro,1951,All About Eve,,Joseph L. Mankiewicz,N,S
oscar,Roteiro,1951,Panic in the Streets,,Edward Anhalt; Edna Anhalt,N,S
oscar,Roteiro,1951,Sunset Boulevard,,"Billy Wilder; Charles Brackett; D. M. Marshman, Jr.",N,S
oscar,Roteiro,1950,A Letter to Three Wives,,Joseph L. Mankiewicz,N,S
oscar,Roteiro,1950,Battleground,,Robert Pirosh,N,S
oscar,Roteiro,1950,The Stratton Story,,Douglas Morrow,N,S
oscar,Roteiro,1949,The Search,,Richard Schweizer; David Wechsler,N,S
oscar,Roteiro,1949,The Treasure of the Sierra Madre,,John Huston,N,S
oscar,Roteiro,1948,Miracle on 34th Street,,George Seaton,N,S
oscar,Roteiro,1948,Miracle on 34th Street,,Valentine Davies,N,S
oscar,Roteiro,1948,The Bachelor and the Bobby-Soxer,,Sidney Sheldon,N,S
oscar,Roteiro,1947,Perfect Strangers,,Clemence Dane,N,S
oscar,Roteiro,1947,The Best Years of Our Lives,,Robert E. Sherwood,N,S
oscar,Roteiro,1947,The Seventh Veil,,Muriel Box; Sydney Box,N,S
oscar,Roteiro,1946,Marie-Louise,,Richard Schweizer,N,S
oscar,Roteiro,1946,The House on 92nd Street,,Charles G. Booth,N,S
oscar,Roteiro,1946,The Lost Weekend,,Billy Wilder; Charles Brackett,N,S
oscar,Roteiro,1945,Going My Way,,Frank Butler; Frank Cavett,N,S
oscar,Roteiro,1945,Going My Way,,Leo McCarey,N,S
oscar,Roteiro,1945,Wilson,,Lamar Trotti,N,S
oscar,Roteiro,1944,Casablanca,,Julius J. Epstein; Philip G. Epstein; Howard Koch,N,S
oscar,Roteiro,1944,Princess O'Rourke,,Norman Krasna,N,S
oscar,Roteiro,1944,The Human Comedy,,William Saroyan,N,S
oscar,Roteiro,1943,49th Parallel,,Emeric Pressburger,N,S
oscar,Roteiro,1943,Mrs. Miniver,,George Froeschel; Claudine West; James Hilton; Arthur Wimperis,N,S
oscar,Roteiro,1943,Woman of the Year,,Michael Kanin; Ring Lardner Jr.,N,S
oscar,Roteiro,1942,Citizen Kane,,Orson Welles; Herman J. Mankiewicz,N,S
oscar,Roteiro,1942,Here Comes Mr. Jordan,,Sidney Buchman; Seton I. Miller,N,S
oscar,Roteiro,1942,Here Comes Mr. Jordan,,Harry Segall,N,S
oscar,Roteiro,1941,"Arise, My Love",,János Székely; Benjamin Glazer,N,S
oscar,Roteiro,1941,The Great McGinty,,Preston Sturges,N,S
